,average_act
766,19.1269841269841
3866,23.5470085470085
2725,19.4
166,24.3772893772894
1756,20.7484737484737
4251,15.1953601953602
2744,18.6
1231,15.9
708,20.006105006105
6978,20.2014652014652
4381,19.2246642246642
3714,23.4737484737485
7213,18.3455433455433
2201,20.0
7984,19.7
5527,15.9035409035409
7478,23.0830280830281
5857,21.8620268620269
350,17.4175824175824
3060,19.8
1576,16.3015873015873
5740,20.5433455433455
4414,23.5714285714286
1591,17.8547008547009
4767,14.0
4223,16.9291819291819
3712,28.968253968254
5350,22.0
5530,20.4945054945055
1290,21.4
5146,21.0
4540,22.8388278388278
7433,20.2258852258852
1439,22.9
7745,22.9
1751,18.3260073260073
1948,17.3
4087,17.026862026862
630,18.1257631257631
4359,18.4676434676435
6238,18.5
3147,19.2
5234,22.0
6067,18.6
2695,15.6
1910,16.6
2232,18.4
5921,20.7142857142857
4605,19.4200244200244
4863,23.0
4387,17.8327228327228
5953,21.5445665445665
7747,22.0
3577,20.2503052503052
1610,19.974358974359
4771,20.0
2191,19.1
7524,22.4725274725275
4615,17.6373626373626
7368,23.6691086691087
7439,22.960927960928
5180,20.0
5135,20.0
5493,20.3968253968254
5081,24.0
3492,21.8
4938,20.0
3832,19.1758241758242
3559,21.4468864468864
5172,20.0
3771,18.2234432234432
48,24.5482295482295
3958,19.2735042735043
1426,18.5
5359,21.0
2110,19.6
1870,19.2
1232,23.7
4278,18.7362637362637
5753,19.6398046398046
6980,20.2747252747253
1074,18.5
5106,20.0
7966,20.0
214,20.6410256410256
541,15.2930402930403
3436,23.1
3821,17.6373626373626
4946,21.0
5339,21.0
7394,22.6923076923077
2457,21.5689865689866
6300,22.8
2542,21.6422466422466
2170,18.8
5437,23.9377289377289
4651,22.5702075702076
856,18.1746031746032
5970,22.2039072039072
4121,15.9279609279609
3938,18.3455433455433
3236,20.9
4868,21.0
125,15.7326007326007
5789,13.2417582417582
2305,22.6434676434676
6480,21.3980463980464
5944,21.031746031746
3058,20.6
5173,21.0
7733,20.9
5606,23.986568986569
6943,19.4444444444444
4154,16.6605616605617
3674,22.008547008547
5633,23.2051282051282
6673,23.9377289377289
5794,29.3589743589744
4945,25.0
4190,15.4151404151404
6069,18.4
658,23.6935286935287
5994,19.0
368,22.4725274725275
1105,20.5
7342,20.8119658119658
4595,18.028083028083
5133,21.0
4647,23.9133089133089
3111,19.5
3673,19.2979242979243
253,20.2503052503052
1836,18.4
626,17.7350427350427
6361,20.2258852258852
7134,22.5946275946276
4751,19.0
1491,20.956043956044
182,21.6666666666667
2648,20.0
5098,24.0
6161,18.9
2103,19.2
292,21.6910866910867
5739,21.3492063492064
556,17.2222222222222
2587,16.2
6305,25.3
944,19.2
1147,19.3
2175,18.8
7776,14.1
4914,16.0
2483,21.1782661782662
2750,19.1
6062,17.5
1311,18.8
2249,22.7
6284,18.1
4440,16.3919413919414
1234,24.0
5193,23.0
2581,18.6
1266,22.4
4499,20.030525030525
2582,18.4
7420,23.9377289377289
5319,22.0
5376,22.0
6569,20.958485958486
760,18.3699633699634
4786,17.0
4509,20.7875457875458
6737,22.6190476190476
7161,20.9340659340659
1630,19.8131868131868
174,15.976800976801
1451,21.1562881562882
5223,21.0
1177,19.8
1825,19.0
4257,15.5616605616606
5617,21.4957264957265
2801,17.1
5196,22.0
3297,16.4
3390,17.2
5989,21.5201465201465
4725,21.0
2876,18.7
4112,16.4163614163614
4439,21.4713064713065
3783,17.2222222222222
1050,17.0
7729,22.7
707,14.9023199023199
7773,14.7
1366,19.1
1486,19.9304029304029
965,18.8
4913,18.0
6906,21.8620268620269
3637,21.3492063492064
1588,21.6227106227106
317,19.8595848595849
4603,19.6153846153846
5637,21.3492063492064
5282,23.0
4562,20.3235653235653
2217,21.0
4043,17.7594627594628
3792,22.008547008547
1714,21.2588522588523
1161,20.9
5312,21.0
521,19.6642246642247
6427,20.1282051282051
2277,25.7692307692308
7276,16.7582417582418
534,18.980463980464
338,17.3443223443223
7275,22.6434676434676
315,22.9365079365079
5083,24.0
3334,19.9
7093,19.3956043956044
7028,20.5433455433455
5867,19.4200244200244
815,21.9108669108669
6930,23.962148962149
5940,21.3247863247863
1712,21.2368742368742
5884,22.985347985348
7279,16.2942612942613
2525,21.4957264957265
6188,18.7
7782,16.3
7366,19.3223443223443
5610,21.4957264957265
4934,18.0
7174,20.8363858363858
7744,21.8
3384,21.0
7082,20.1526251526252
3497,21.4
6250,19.0
6346,21.3736263736264
1519,19.8107448107448
5263,22.0
3210,18.8
6252,17.4
393,24.2063492063492
6742,21.1294261294261
6696,22.1062271062271
